iter	Passed	Remaining
233	678	2220
234	681	2217
235	684	2215
236	686	2210
237	688	2205
238	690	2199
239	693	2195
240	695	2190
241	697	2185
242	699	2180
243	701	2174
244	703	2169
245	705	2163
246	707	2157
247	709	2151
248	711	2146
249	713	2141
250	716	2136
251	718	2131
252	720	2126
253	722	2121
254	724	2116
255	726	2111
256	730	2112
257	733	2108
258	735	2104
259	738	2100
260	740	2096
261	742	2092
262	745	2088
263	747	2084
264	749	2080
265	752	2075
266	754	2071
267	756	2067
268	759	2062
269	761	2057
270	763	2053
271	765	2049
272	768	2045
273	770	2041
274	773	2038
275	775	2033
276	777	2028
277	779	2023
278	780	2018
279	783	2013
280	785	2008
281	787	2004
282	789	2000
283	791	1995
284	793	1991
285	796	1987
286	798	1983
287	800	1979
288	802	1974
289	804	1970
290	806	1965
291	808	1960
292	812	1960
293	815	1957
294	818	1955
295	821	1953
296	824	1951
297	827	1949
298	829	1944
299	833	1943
300	835	1940
301	837	1935
302	839	1931
303	841	1926
304	843	1922
305	845	1917
306	849	1917
307	851	1913
308	853	1909
309	855	1905
310	858	1900
311	860	1896
312	862	1893
313	865	1891
314	867	1886
315	869	1882
316	871	1878
317	873	1873
318	875	1869
319	878	1866
320	880	1862
321	882	1857
322	884	1853
323	886	1848
324	888	1844
325	890	1840
326	893	1838
327	895	1834
328	897	1830
329	899	1826
330	902	1823
331	904	1820
332	908	1819
333	910	1815
334	912	1811
335	914	1807
336	916	1803
337	918	1799
338	920	1795
339	923	1792
340	925	1788
341	927	1783
342	929	1779
343	931	1775
344	933	1771
345	934	1767
346	937	1764
347	939	1760
348	941	1756
349	943	1752
350	945	1748
351	947	1744
352	949	1740
353	953	1739
354	955	1735
355	957	1732
356	959	1728
357	961	1724
358	963	1720
359	965	1717
360	968	1714
361	970	1710
362	972	1706
363	974	1702
364	976	1699
365	978	1695
366	981	1693
367	983	1689
368	986	1686
369	988	1683
370	991	1681
371	993	1677
372	995	1673
373	998	1670
374	1000	1666
375	1001	1662
376	1003	1658
377	1005	1655
378	1007	1651
379	1009	1647
380	1012	1644
381	1014	1641
382	1016	1637
383	1018	1633
384	1020	1629
385	1022	1626
386	1024	1622
387	1027	1620
388	1029	1617
389	1031	1613
390	1033	1610
391	1035	1606
392	1037	1603
393	1039	1599
394	1042	1596
395	1044	1592
396	1046	1589
397	1048	1586
398	1050	1582
399	1052	1579
400	1054	1575
401	1058	1574
402	1060	1571
403	1063	1568
404	1065	1564
405	1067	1561
406	1069	1558
407	1072	1556
408	1074	1553
409	1076	1549
410	1078	1545
411	1080	1542
412	1082	1538
413	1084	1535
414	1087	1533
415	1089	1529
416	1091	1526
417	1093	1522
418	1095	1519
419	1097	1515
420	1099	1512
421	1102	1509
422	1104	1506
423	1106	1503
424	1108	1499
425	1110	1496
426	1112	1493
427	1114	1489
428	1117	1487
429	1119	1483
430	1121	1480
431	1123	1476
432	1125	1473
433	1127	1470
434	1129	1466
435	1132	1464
436	1134	1461
437	1136	1458
438	1138	1454
439	1140	1451
440	1142	1448
441	1144	1444
442	1146	1442
443	1149	1439
444	1151	1435
